"","cd_cvm","nome_companhia"
"311","021970","AUTOPISTA PLANALTO SUL SA"
"312","021989","AUTOPISTA FERNÃO DIAS SA"
"313","021962","AUTOPISTA REGIS BITTENCOURT SA"
"314","021660","FAE ADM. E PARTICIPAÇÕES SA"
"315","021610","B3 S.A. - BRASIL, BOLSA, BALCÃO"
"316","022241","KAROON PETRÓLEO & GÁS SA"
"317","021792","CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS"
"318","021563","BERNA PARTICIPAÇÕES SA"
"319","022446","K INFRA RODOVIA DO AÇO S.A"
"320","021512","ÁQUILLA SECURITIZADORA S.A."
"321","021601","BASEL PARTICIPAÇÕES S/A"
"322","021598","BANJUL PARTICIPAÇÕES SA"
"323","021580","BELMONTE PARTICIPAÇÕES SA"
"324","021644","PDG COMPANHIA SECURITIZADORA - EM RECUPERAÇÃO JUDICIAL"
"325","021806","AGV HOLDING S/A"
"326","021652","CTX PARTICIPAÇÕES S/A"
"327","022691","CIA LOCAÇÃO DAS AMÉRICAS"
"328","021687","INVITEL LEGACY SA - EM LIQUIDAÇÃO"
"329","022063","NEXFUEL BIOENERGIA S/A"
"330","022144","CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A."
"331","021695","NPF SECURITIZADORA S/A"
"332","022179","AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A"
"333","021725","ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A."
"334","022047","METROPOLIS EMPREENDIMENTOS IMOBILIÁRIOS S/A"
"335","021750","INFRASEC SECURITIZADORA S.A."
"336","022268","CONC AUTO RAPOSO TAVARES S.A."
"337","021920","BARI SECURITIZADORA S.A."
"338","022187","PETRO RIO S.A."
"339","022543","VIARONDON CONCESSIONÁRIA DE RODOVIA S.A."
"340","022071","CONC ROTA DAS BANDEIRAS S.A."
"341","022721","CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL"
"342","021741","ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A."
"343","021865","BRAZAL BRASIL ALIMENTOS SA"
"344","014362","CIA ENERGETICA DE PERNAMBUCO - CELPE"
"345","022411","CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS"
"346","021776","CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A"
"347","021784","EBX BRASIL S.A."
"348","022039","BOLERO PARTICIPAÇÕES S/A"
"349","021946","MULTIPLUS S.A."
"350","022101","AQUA-RIO S/A"
"351","022080","COMPANHIA PAULISTA DE SECURITIZAÇÃO"
"352","022152","POTHENCIA S.A. - REFLORESTADORA"
"353","022500","BRASIL PHARMA S.A."
"354","021954","3A COMPANHIA SECURITIZADORA"
"355","080110","DUFRY A.G."
"356","022756","SAAG INVESTIMENTOS S.A."
"357","022365","ENAUTA PARTICIPAÇÕES S.A."
"358","022420","TRX SECURITIZADORA S.A."
"359","022217","ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A."
"360","022098","CERVEJASONLINE PARTICIPAÇÕES S/A"
"361","022284","MCM CIMENTOS S/A"
"362","022497","QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A."
"363","022195","ROPASC PARTICIPAÇÕES S.A."
"364","022209","PASCRO PARTICIPAÇÕES S.A."
"365","021067","MOURA DUBEUX ENGENHARIA S/A"
"366","022128","REDENTOR ENERGIA S/A"
"367","022276","TRUE SECURITIZADORA S.A."
"368","022390","OCTANTE SECURITIZADORA S.A."
