"cd_cvm","nome_companhia"
"020842","MAGNESITA REFRATARIOS S.A."
"020907","BHG S.A. - BRAZIL HOSPITALITY GROUP"
"021482","PRUMO LOGISTICA SA"
"021008","GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A."
"020818","ISEC SECURITIZADORA S.A."
"021040","CYRELA COMMERCIAL PROPERT S.A. EMPR PART"
"021016","YDUQS PARTICIPACOES S.A."
"021130","TRISUL S.A."
"021245","CENTENNIAL ASSET PARTICIPAÇÕES AÇU S.A."
"021903","ECORODOVIAS CONCESSÕES E SERVIÇOS S.A."
"021105","NOVA SECURITIZACAO S.A."
"021059","MATONE SECURITIZADORA S/A"
"080098","LAEP INVESTMENTS LTD"
"021520","MULTINER S/A"
"022438","INTERNATIONAL MEAL COMPANY HOLDINGS S/A"
"021075","VISION SECURITIZADORA S.A."
"080080","AGRENCO LIMITED"
"022560","INBRANDS S.A."
"022225","TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A"
"021938","ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A"
"021342","OSX BRASIL S.A."
"004685","CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL"
"019968","CIA DE AGUA E ESGOTO DA PARAIBA"
"022110","OMEGA ENERGIA RENOVÁVEL S/A"
"021261","MONTICIANO PARTICIPAÇÕES S/A"
"021814","FERROVIA NORTE SUL S/A"
"022519","TECHNOS S.A."
"021628","HABITASEC SECURITIZADORA SA"
"021997","AUTOPISTA LITORAL SUL"
"022004","AUTOPISTA FLUMINENSE SA"
"021970","AUTOPISTA PLANALTO SUL SA"
"021989","AUTOPISTA FERNÃO DIAS SA"
"021962","AUTOPISTA REGIS BITTENCOURT SA"
"021660","FAE ADM. E PARTICIPAÇÕES SA"
"021610","B3 S.A. - BRASIL, BOLSA, BALCÃO"
"022241","KAROON PETRÓLEO & GÁS SA"
"021792","CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS"
"021563","BERNA PARTICIPAÇÕES SA"
"022446","K INFRA RODOVIA DO AÇO S.A"
"021512","ÁQUILLA SECURITIZADORA S.A."
"021601","BASEL PARTICIPAÇÕES S/A"
"021598","BANJUL PARTICIPAÇÕES SA"
"021580","BELMONTE PARTICIPAÇÕES SA"
"021644","PDG COMPANHIA SECURITIZADORA - EM RECUPERAÇÃO JUDICIAL"
"021806","AGV HOLDING S/A"
"021652","CTX PARTICIPAÇÕES S/A"
"022691","CIA LOCAÇÃO DAS AMÉRICAS"
"021687","INVITEL LEGACY SA - EM LIQUIDAÇÃO"
"022063","NEXFUEL BIOENERGIA S/A"
"022144","CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A."
"021695","NPF SECURITIZADORA S/A"
"022179","AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A"
"021725","ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A."
"022047","METROPOLIS EMPREENDIMENTOS IMOBILIÁRIOS S/A"
"021750","INFRASEC SECURITIZADORA S.A."
"022268","CONC AUTO RAPOSO TAVARES S.A."
"021920","BARI SECURITIZADORA S.A."
"022187","PETRO RIO S.A."
"022543","VIARONDON CONCESSIONÁRIA DE RODOVIA S.A."
"022071","CONC ROTA DAS BANDEIRAS S.A."
"022721","CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL"
"021741","ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A."
"021865","BRAZAL BRASIL ALIMENTOS SA"
"014362","CIA ENERGETICA DE PERNAMBUCO - CELPE"
"022411","CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS"
"021776","CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A"
"021784","EBX BRASIL S.A."
"022039","BOLERO PARTICIPAÇÕES S/A"
"021946","MULTIPLUS S.A."
"022101","AQUA-RIO S/A"
"022080","COMPANHIA PAULISTA DE SECURITIZAÇÃO"
"022152","POTHENCIA S.A. - REFLORESTADORA"
"022500","BRASIL PHARMA S.A."
"021954","3A COMPANHIA SECURITIZADORA"
"080110","DUFRY A.G."
"022756","SAAG INVESTIMENTOS S.A."
"022365","ENAUTA PARTICIPAÇÕES S.A."
"022420","TRX SECURITIZADORA S.A."
"026506","LUPO S.A."
"022217","ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A."
"022098","CERVEJASONLINE PARTICIPAÇÕES S/A"
"022284","MCM CIMENTOS S/A"
"022497","QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A."
"022195","ROPASC PARTICIPAÇÕES S.A."
"022209","PASCRO PARTICIPAÇÕES S.A."
"021067","MOURA DUBEUX ENGENHARIA S/A"
"022128","REDENTOR ENERGIA S/A"
"022276","TRUE SECURITIZADORA S.A."
"022390","OCTANTE SECURITIZADORA S.A."
"022160","POLO CAPITAL SECURITIZADORA S.A"
"022250","OURINVEST SECURITIZADORA SA"
"022314","CÁSPIO PARTICIPAÇÕES S/A"
"022322","VOSTOK PARTICIPAÇÕES SA"
"022462","MÊNFIS PARTICIPAÇÕES S.A."
"022292","STEIN SP II PARTICIPAÇÕES S.A."
"022527","PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S.A."
"022233","BRASIL PLURAL SECURITIZADORA S.A."
"022675","HIDROVIAS DO BRASIL S.A."
"022748","PATMOS PARTICIPAÇÕES S.A."
"022713","EGEU PARTICIPAÇÕES S.A."
"022489","FORTE SECURITIZADORA S.A."
"001120","BCO ESTADO DE SERGIPE S.A. - BANESE"
"018996","ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A"
"009784","PRONOR PETROQUIMICA SA"
"009857","QGN PARTICIPAÇÕES SA"
"004359","ELEKEIROZ S.A."
"001597","PARTICIPAÇÕES INDUST. DO NORDESTE S.A."
"020729","PARANA BCO S.A."
"012696","SANSUY S.A. INDUSTRIA DE PLASTICOS"
"021156","J. MACEDO S.A."
"004863","CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA"
"011398","TRONOX PIGMENTOS DO BRASIL S.A."
"006955","IND AZULEJOS BAHIA SA"
"014524","CIA ELETRICIDADE EST. DA BAHIA - COELBA"
"003069","CIA FERRO LIGAS DA BAHIA - FERBASA"
"003115","CIA SEGUROS ALIANCA DA BAHIA"
"005576","ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A."
"008745","METANOR SA METANOL DO NE"
"013986","SUZANO S.A."
"022349","AREZZO INDÚSTRIA E COMÉRCIO S.A."
"021350","DIRECIONAL ENGENHARIA S.A."
"019739","LOCALIZA RENT A CAR S.A."
"002453","CIA ENERGETICA DE MINAS GERAIS - CEMIG"
"005983","FIACAO TEC SAO JOSE S.A."
"008818","MINASMAQUINAS S.A."
"004782","MENDES JUNIOR ENGENHARIA S.A."
"009954","ALFA HOLDINGS S.A."
"003891","FINANCEIRA ALFA S.A.- CRED FINANC E INVS"
"001325","BCO MERCANTIL DO BRASIL S.A."
"004707","CONSORCIO ALFA DE ADMINISTRACAO S.A."
"003077","CIA FIACAO TECIDOS CEDRO CACHOEIRA"
"019445","CIA SANEAMENTO DE MINAS GERAIS-COPASA MG"
"014028","VALE FERTILIZANTES S.A."
"003395","CIA INDUSTRIAL CATAGUASES"
"003271","ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A"
"004111","CACHOEIRA VELONORTE"
"004081","CIA TECIDOS SANTANENSE"
"022373","ELETROSOM S/A"
"020621","FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL"
"003158","CIA TECIDOS NORTE DE MINAS COTEMINAS"
"014133","TEC TOY S.A."
"018490","CLARION S/A AGROINDUSTRIAL"
"015300","RUMO MALHA NORTE S.A."
"011800","WEMBLEY SOCIEDADE ANÔNIMA"
"002062","CAFE SOLUVEL BRASILIA SA"
"015890","MERCANTIL DO BRASIL LEASING SA"
"022012","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A."
"001155","BANESTES S.A. - BCO EST ESPIRITO SANTO"
"015342","EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A."
"020958","BCO ABC BRASIL S.A."
"012866","INDÚSTRIA VEROLME S.A. - IVESA"
"020508","TAIPE TRANCOSO EMPREENDIMENTOS S/A"
"012840","RIMET EMPREEND. INDS. E COMERCIAIS S/A"
"013781","SAO CARLOS EMPREEND E PARTICIPACOES S.A."
"021121","SUL AMERICA S.A."
"022616","BCO BTG PACTUAL S.A."
"013366","HAGA S.A. INDUSTRIA E COMERCIO"
"021377","BANCO INDUSTRIAL DO BRASIL"
"014010","PREDILETO ALIMENTOS SA"
"014710","SOLA SA INDS ALIMENTICIAS"
"021202","VIX LOGÍSTICA S/A"
"011320","TELEMAR NORTE LESTE SA"
"009512","PETROLEO BRASILEIRO S.A. PETROBRAS"
"004057","SOUZA CRUZ SA"
"008087","LOJAS AMERICANAS S.A."
"007811","JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL"
"008540","MERCANTIL BRASIL FINANC S.A. C.F.I."
"006505","VIA VAREJO S.A."
"004030","CIA SIDERURGICA NACIONAL"
"003050","AMPLA ENERGIA E SERVICOS S.A."
"003824","CIA PAULISTA DE FORCA E LUZ"
"008893","MONTEIRO ARANHA S.A."
"011207","TECNOSOLO ENGENHARIA S.A. - EMPRESA EM RECUPERAÇÃO JUDICIAL"
"020028","VALID SOLUÇÕES S.A."
"010596","SERGEN SERVS GERAIS DE ENG SA"
"006700","HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL"
"011070","WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A."
"018465","ULTRAPAR PARTICIPACOES S.A."
"016373","CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE"
"010880","SONDOTECNICA ENGENHARIA SOLOS S.A."
"009989","REFINARIA DE PETROLEOS MANGUINHOS S.A."
"003182","DOCAS INVESTIMENTOS SA"
"011231","TEKNO S.A. - INDUSTRIA E COMERCIO"
"003328","CIA HIDRO ELÉTRICA DO SÃO FRANCISCO"
"004170","VALE S.A."
"003980","GERDAU S.A."
"006696","HOTEIS E TURISMO GUANABARA SA"
"080128","LATAM AIRLINES GROUP S.A."
"016616","CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG"
"011592","UNIPAR CARBOCLORO S.A."
"001309","BCO MERCANTIL DE INVESTIMENTOS S.A."
"001724","BMG LEASING S.A. - ARREND. MERCANTIL"
"021172","AMIL PARTICIPAÇÕES S/A"
"017850","ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A."
"004820","BRASKEM S.A."
"020710","LOG-IN LOGISTICA INTERMODAL S.A."
"015458","EMBPAR PARTICIPAÇÕES S/A"
"006815","IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL"
"014052","BFB LEASING S.A. ARRENDAMENTO MERCANTIL"
"020524","EVEN CONSTRUTORA E INCORPORADORA S.A."
"014443","CIA SANEAMENTO BASICO EST SAO PAULO"
"020346","PROFARMA DISTRIB PROD FARMACEUTICOS S.A."
"000701","BAHEMA EDUCAÇÃO S.A."
"004774","CONSTRUTORA LIX DA CUNHA S.A."
